GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0008150	biological_process	43	43	43	6.6e-05
GO:0009987	cellular process	29	29	29	0.045
GO:0008152	metabolic process	27	27	27	0.064
GO:0071704	organic substance metabolic process	26	26	26	0.075
GO:0044238	primary metabolic process	24	24	24	0.101
GO:0044237	cellular metabolic process	23	23	23	0.117
GO:0006807	nitrogen compound metabolic process	19	19	19	0.193
GO:0043170	macromolecule metabolic process	19	19	19	0.193
GO:0050896	response to stimulus	15	15	15	0.296
GO:0065007	biological regulation	14	14	14	0.327
GO:0050789	regulation of biological process	14	14	14	0.327
GO:1901576	organic substance biosynthetic process	13	13	13	0.359
GO:0009058	biosynthetic process	13	13	13	0.359
GO:0050794	regulation of cellular process	13	13	13	0.359
GO:0044249	cellular biosynthetic process	12	12	12	0.394
GO:1901360	organic cyclic compound metabolic proces...	11	11	11	0.431
GO:0034641	cellular nitrogen compound metabolic pro...	11	11	11	0.431
GO:0046483	heterocycle metabolic process	11	11	11	0.431
GO:0006139	nucleobase-containing compound metabolic...	11	11	11	0.431
GO:0006725	cellular aromatic compound metabolic pro...	11	11	11	0.431
